Title,Image,Price,Discount,Origin
AQUOS R2 - 4gb/64gb - Official PTA Approved - Gamming Phone - Best for PubG,./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/b142d1203f0ca08bca94b2765ef1224b.jpg_400x400q75.avif,"Rs. 30,500",3% Off,Punjab
Tecno Spark Go 3 - 4Gb Ram / 64Gb Storage - Official PTA Approved with 1 Year Official Brand Warranty.,./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/S484a7069f1b041bda4f590045b277430D.jpg_400x400q75.avif,"Rs. 34,999",15% Off,Punjab
Sharp Aquos R7 - 6.6 QHD+ Display - Dual Sim Physical + E-Sim - 12GB RAM - 256GB ROM +SD Card Supported - Snapdragon 8 Gen 1 Processor - In-Screen Fingerprint (Phone Only - Box Charger Accessoires Not Included - Official PTA Approved),./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/35e5cc17e045b8d5b19d41d702ea2eed.jpg_400x400q75.avif,"Rs. 64,999",35% Off,Sindh
Nothing CMF Phone 2 Pro RAM 8GB ROM 128 GB Front Camera 16 Back Camera 50+50+8 Battery 5000 mAh Brand One year Warranty,./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/002a556d15f03633cf1378e4b395ed84.jpg_400x400q75.avif,"Rs. 105,000",5% Off,Punjab
Samsung Galaxy Z Fold 3 12GB RAM 256 GB ROM || FOLDABLE MOBILE PHONE || ONE YEAR BRAND WARRANTY,./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/0516822a77d2804445ced6303433b1ee.jpg_400x400q75.avif,"Rs. 300,000",NA,Punjab
Oppo A31 (CPH2015) - 6.5 Inches Display - 8GB RAM - 256GB ROM (128GB Usable + 128GB System Reserved) - Dual SIM (Official PTA Approved) - 12MP+2MP+8MP Camera - Mix Color (Phone with Box Charger - No Accessories Included),./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/2acae3c796cf6fc823937343573817aa.jpg_400x400q75.avif,"Rs. 19,999",20% Off,12 sold
Redmi 15C – 6GB RAM + 128GB Storage | 50MP Dual Camera | 6.9” 120Hz Display | Helio G81 Ultra | 6000mAh Battery 33W Fast Charging | Android 15 (HyperOS 2.0),./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/418fde59862df1e0e46a43e3d61168ba.jpg_400x400q75.avif,"Rs. 44,999",12% Off,Punjab
Kyocera Basio 4 - 5.6 Inches AMOLED Display - 3GB RAM + 32GB ROM - Single Sim PTA Approved - Android 10 (12 Upgradable) - Japanese Phone - Phone with Charger (No box - Color Mix),./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/3f6bcb746aa0d7e38213dd85241011f4.jpg_400x400q75.avif,"Rs. 13,499",33% Off,Sindh
"Vivo Y17 - 6.35 Inches IPS LCD Display - 8GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - Helio P35 Processor - (Phone and Box Charger, No Accessories Included - Mix Color)",./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/033e46d9f738fd1eabcb15d0af6e4cce.jpg_400x400q75.avif,"Rs. 18,999",24% Off,163 sold
"(Official PTA Approve) VivoY81 - 6.22"" HD Display - Dual Sim - 6GB RAM - 128GB ROM - Android Oreo - PTA Approved - Phone And Box Charger Only (, No Accessories Included)",./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/f140bc271a14521000201ea3b71dfa40.jpg_400x400q75.avif,"Rs. 12,999",48% Off,67 sold
